Codi,Nom,Codi comarca,Nom comarca,UTM X,UTM Y,Longitud,Latitud,Georeferència,LIMADM_MUNICIPI,LIMADM COMARCA
251902,Salàs de Pallars,25,Pallars Jussà,329256.4381,4675446.627,0.931464895,42.21254512,POINT (0.931464895 42.21254512),268,9
172142,Vilabertran,02,Alt Empordà,498325.7811,4681260.82,2.979693865,42.28356246,POINT (2.979693865 42.28356246),190,6
250334,Artesa de Lleida,33,Segrià,308465.3458,4602555.57,0.703394598,41.55174258,POINT (0.703394598 41.55174258),607,21
252192,Tarroja de Segarra,32,Segarra,356664.0697,4621288.273,1.2765416,41.73048601,POINT (1.2765416 41.73048601),881,19
171518,Riumors,02,Alt Empordà,503550.7047,4674962.242,3.043026927,42.22682952,POINT (3.043026927 42.22682952),273,6
170852,Jafre,10,Baix Empordà,500890.0761,4657766.583,3.010759556,42.07196555,POINT (3.010759556 42.07196555),83,16
430347,Bràfim,01,Alt Camp,361052.6869,4569917.16,1.341136631,41.26873802,POINT (1.341136631 41.26873802),355,30
082606,Santa Perpètua de Mogoda,40,Vallès Occidental,431884.0134,4598424.667,2.183444726,41.53457583,POINT (2.183444726 41.53457583),682,26
250479,Bellcaire d'Urgell,23,Noguera,325887.8635,4625165.28,0.905573979,41.7592389,POINT (0.905573979 41.7592389),815,15
081402,Navarcles,07,Bages,408859.1623,4622780.879,1.903759781,41.75162689,POINT (1.903759781 41.75162689),865,18
080996,Guardiola de Berguedà,14,Berguedà,407485.0359,4676279.443,1.878810946,42.23322071,POINT (1.878810946 42.23322071),181,8
172001,Tortellà,19,Garrotxa,469442.6574,4675692.502,2.629675788,42.23281673,POINT (2.629675788 42.23281673),354,10
431665,Vilallonga del Camp,36,Tarragonès,349594.6226,4563773.237,1.205916871,41.21136969,POINT (1.205916871 41.21136969),458,37
250997,Golmés,27,Pla d'Urgell,327839.5674,4611049.912,0.933110148,41.63260825,POINT (0.933110148 41.63260825),798,23
431299,Riudoms,08,Baix Camp,336412.542,4555872.325,1.050870857,41.1376834,POINT (1.050870857 41.1376834),517,39
170577,Corçà,10,Baix Empordà,501432.5019,4648646.217,3.017294311,41.98982108,POINT (3.017294311 41.98982108),2,16
172155,Vilablareix,20,Gironès,482930.442,4644553.351,2.794042045,41.95277439,POINT (2.794042045 41.95277439),894,14
171208,Palau-saverdera,02,Alt Empordà,512207.7862,4683913.19,3.14812057,42.30735638,POINT (3.14812057 42.30735638),254,6
171100,Mont-ras,10,Baix Empordà,512002.449,4639541.123,3.144717363,41.9077239,POINT (3.144717363 41.9077239),674,16
250766,"Cogul, el",18,Garrigues,307055.7792,4593146.606,0.689520695,41.46672232,POINT (0.689520695 41.46672232),601,27
431763,Vimbodí i Poblet,16,Conca de Barberà,337086.8416,4585031.29,1.051107112,41.400326,POINT (1.051107112 41.400326),722,28
250019,Abella de la Conca,25,Pallars Jussà,342356.4132,4669446.456,1.091706045,42.1612871,POINT (1.091706045 42.1612871),361,9
171903,Serinyà,28,Pla de l'Estany,478982.5201,4668644.579,2.745542768,42.16965629,POINT (2.745542768 42.16965629),308,11
081653,"Pobla de Claramunt, la",06,Anoia,389528.9688,4601219.993,1.675296009,41.55502231,POINT (1.675296009 41.55502231),662,24
171582,Sant Climent Sescebes,02,Alt Empordà,498356.8168,4690745.306,2.980043309,42.36898126,POINT (2.980043309 42.36898126),390,6
430213,Barberà de la Conca,16,Conca de Barberà,351852.206,4585879.601,1.227449026,41.41081942,POINT (1.227449026 41.41081942),208,28
171117,Navata,02,Alt Empordà,488490.6788,4674628.356,2.860538506,42.22374573,POINT (2.860538506 42.22374573),359,6
251109,Guissona,32,Segarra,357761.9545,4627282.388,1.288303003,41.78464838,POINT (1.288303003 41.78464838),773,19
081120,Manlleu,24,Osona,440667.4181,4650017.681,2.283578064,41.9999391,POINT (2.283578064 41.9999391),31,13
170372,Campelles,31,Ripollès,429194.6493,4682864.818,2.141072148,42.29479352,POINT (2.141072148 42.29479352),261,7
430995,"Palma d'Ebre, la",30,Ribera d'Ebre,304530.6208,4572746.593,0.665882597,41.28250815,POINT (0.665882597 41.28250815),561,36
081712,Prats de Lluçanès,24,Osona,419560.6937,4651192.638,2.028590923,42.00864672,POINT (2.028590923 42.00864672),498,13
081923,Santpedor,07,Bages,403537.1809,4626364.925,1.839177662,41.78327337,POINT (1.839177662 41.78327337),770,18
170209,Bescanó,20,Gironès,478734.5985,4645966.856,2.743365182,41.96540335,POINT (2.743365182 41.96540335),38,14
251977,Sant Guim de la Plana,32,Segarra,360731.1031,4624821.248,1.324595827,41.76301707,POINT (1.324595827 41.76301707),822,19
251945,Sant Ramon,32,Segarra,363507.7187,4620501.87,1.358975924,41.72461029,POINT (1.358975924 41.72461029),99,19
430424,Castellvell del Camp,08,Baix Camp,340380.5838,4560546.303,1.096907219,41.18055339,POINT (1.096907219 41.18055339),474,39
080790,"Estany, l'",42,Moianès,426344.2862,4635568.767,2.112454961,41.86860715,POINT (2.112454961 41.86860715),639,18
170741,Fortià,02,Alt Empordà,503335.324,4676694.779,3.040426933,42.24243421,POINT (3.040426933 42.24243421),215,6
171805,Santa Coloma de Farners,34,Selva,472011.349,4634453.418,2.662775243,41.86149583,POINT (2.662775243 41.86149583),634,20
170010,Agullana,02,Alt Empordà,487356.821,4693545.394,2.846385617,42.39409786,POINT (2.846385617 42.39409786),396,6
172095,Vall-llobrega,10,Baix Empordà,510533.4242,4636520.129,3.126951014,41.88053534,POINT (3.126951014 41.88053534),649,16
430862,Montblanc,16,Conca de Barberà,346250.3161,4582215.193,1.161386523,41.37677696,POINT (1.161386523 41.37677696),783,28
430287,"Bisbal del Penedès, la",12,Baix Penedès,373355.7143,4570996.068,1.487744296,41.28047573,POINT (1.487744296 41.28047573),253,33
430483,Corbera d'Ebre,37,Terra Alta,288148.7528,4550450.351,0.47815365,41.07772916,POINT (0.47815365 41.07772916),171,38
170890,Llagostera,20,Gironès,491016.6056,4630775.146,2.891817464,41.82881009,POINT (2.891817464 41.82881009),678,14
252398,"Valls de Valira, les",04,Alt Urgell,372950.6394,4693020.261,1.456737734,42.37908342,POINT (1.456737734 42.37908342),332,5
081234,Molins de Rei,11,Baix Llobregat,417759.8903,4585138.754,2.015962183,41.41359396,POINT (2.015962183 41.41359396),723,31
081960,Sant Andreu de la Barca,11,Baix Llobregat,414083.9157,4589223.788,1.971403604,41.44999966,POINT (1.971403604 41.44999966),663,31
081542,Pacs del Penedès,03,Alt Penedès,388674.2443,4579744.506,1.669009697,41.36151537,POINT (1.669009697 41.36151537),33,32
259059,Ribera d'Ondara,32,Segarra,361880.9904,4609771.216,1.341908077,41.62771708,POINT (1.341908077 41.62771708),755,19
080771,Esplugues de Llobregat,11,Baix Llobregat,423737.8689,4581087.702,2.087992375,41.37769777,POINT (2.087992375 41.37769777),830,31
